"2015-08"	4.830278498461239e+20
"2015-09"	7.047276356817186e+19
"2015-10"	7.411289229426749e+19
"2015-11"	5.948474386250283e+19
"2015-12"	2.6764096183940583e+19
"2016-01"	6.106607047719591e+19
"2016-02"	6.55476087599054e+19
"2016-03"	4.587940593561187e+19
"2016-04"	2.258293459946353e+19
"2016-05"	4.710482015183497e+19
"2016-06"	3.05045289883952e+19
"2016-07"	9.615239675838104e+19
"2016-08"	5.884337037279917e+19
"2016-09"	3.2645344559816933e+19
"2016-10"	3.243501960145934e+19
"2016-11"	3.964431643835122e+19
"2016-12"	6.146658677538069e+19
"2017-01"	5.620285956535166e+19
"2017-02"	5.558009016262998e+19
"2017-03"	1.770019614632263e+20
"2017-04"	1.1102866776414917e+20
"2017-05"	1.253013552012346e+20
"2017-06"	5.679086208124881e+19
"2017-07"	6.4943127187730784e+19
"2017-08"	4.827696056983337e+19
"2017-09"	3.442063270447764e+19
"2017-10"	2.6731107087869956e+19
"2017-11"	2.96411032747405e+19
"2017-12"	1.3737046580115218e+19
"2018-01"	1.11645727207502e+19
"2018-02"	6.230362795090817e+18
"2018-03"	2.7292981690954767e+18
"2018-04"	2.449338018958015e+18
"2018-05"	2.496999942396033e+18
"2018-06"	2.8093034784699515e+18
"2018-07"	2.274899868067751e+18
"2018-08"	2.3998220839240796e+18
"2018-09"	3.729156680838141e+18
"2018-10"	3.071710223249729e+18
"2018-11"	5.397909048901716e+18
"2018-12"	5.944894163484742e+18
"2019-01"	4.454813888902492e+18
"2019-02"	3.980845264511403e+18
"2019-03"	3.82001025199019e+18
"2019-04"	4.1346612995334216e+18
"2019-05"	4.0041423421996964e+18
"2019-06"	3.03565822278106e+18
