130,phishing,offline
1200,phishing,active
6,phishing,offline
81,phishing,offline
41,fake ico,offline
2,phishing,offline
1213,phishing,offline
360,phishing,offline
90,phishing,offline
78,phishing,offline
88,phishing,offline
47,fake ico,offline
31,fake ico,offline
2158,phishing,offline
2154,phishing,offline
2136,phishing,offline
2135,phishing,offline
2137,phishing,offline
2153,phishing,offline
2193,phishing,offline
2163,phishing,offline
2218,phishing,offline
2219,phishing,offline
2223,phishing,offline
2161,fake ico,offline
2187,phishing,offline
2468,phishing,offline
2226,phishing,offline
2186,phishing,offline
2249,phishing,offline
2245,phishing,offline
2222,scam,offline
2139,phishing,offline
2151,phishing,offline
2204,phishing,offline
2132,scamming,offline
2185,phishing,offline
2169,phishing,offline
2265,phishing,offline
2230,phishing,offline
2207,phishing,offline
2236,phishing,offline
2254,phishing,offline
2152,phishing,offline
2242,phishing,offline
2175,phishing,offline
2322,phishing,offline
2247,phishing,offline
77,phishing,offline
2165,phishing,offline
2311,phishing,offline
2170,phishing,offline
2233,scamming,offline
2167,phishing,offline
2349,phishing,offline
2262,phishing,offline
2237,phishing,offline
2313,phishing,offline
2308,phishing,offline
2379,phishing,offline
2390,phishing,offline
2206,phishing,offline
2350,phishing,offline
2325,phishing,offline
2556,phishing,active
2273,phishing,offline
2387,phishing,offline
2406,phishing,offline
2400,phishing,offline
2426,phishing,offline
2424,phishing,offline
2385,phishing,offline
2346,phishing,offline
2368,phishing,offline
2436,phishing,offline
2307,phishing,offline
2375,phishing,offline
2181,phishing,offline
2292,phishing,offline
2431,phishing,offline
2384,phishing,offline
2438,phishing,offline
2341,phishing,offline
2143,phishing,offline
2155,phishing,offline
2421,phishing,offline
2437,phishing,offline
2441,phishing,offline
2607,phishing,offline
2458,phishing,offline
2366,phishing,active
2372,phishing,offline
2523,phishing,offline
2258,phishing,offline
2416,phishing,offline
2282,phishing,offline
2395,phishing,offline
2370,phishing,offline
2522,phishing,offline
2173,phishing,offline
2420,phishing,offline
2449,phishing,offline
2463,phishing,offline
2320,phishing,offline
2518,phishing,offline
2435,phishing,offline
2502,phishing,offline
2221,phishing,offline
2455,phishing,offline
2499,phishing,offline
2312,phishing,offline
2530,phishing,offline
2433,phishing,offline
2519,phishing,offline
2444,phishing,offline
2459,phishing,offline
2545,phishing,offline
2248,phishing,offline
2402,phishing,offline
2551,phishing,offline
